meeting_date,hawkishness_im,uncertainty_im,dissent_detected,fg_type,fg_direction,inflation_outlook,growth_prospects,labor_market,speech_hawkishness,agg_econ_index,expected_change_bp,entropy,modal_outcome,hawkishness_index_ii,policy_uncertainty,p_hold,dfr_actual_bp,dfr_surprise_mech,dfr_surprise_sal,dfr_surprise_norm,dfr_direction,mro_surprise_mech
1999-09-23,0.08,0.45,False,Delphic,ambiguous,0.020689655172413796,0.14482758620689656,-0.020689655172413796,0.3525,0.0497,5.3875,1.2467,hold,0.1077,0.7746,0.5511,0.0,-5.3875,0.5958,-0.376,dovish_surprise,-5.3875
1999-10-07,0.5,0.3,False,Delphic,hike,-0.020000000000000004,0.09333333333333332,0.010000000000000002,0.2978,0.02,11.2625,0.8513,hold,0.2252,0.5289,0.6272,0.0,-11.2625,0.4665,-0.79,dovish_surprise,-11.2625
1999-10-21,0.4,0.25,False,Delphic,hike,0.12,0.26499999999999996,0.025,0.1944,0.1445,4.725,0.5585,hold,0.0945,0.347,0.789,0.0,-4.725,0.237,-0.8822,no_surprise,-4.725
1999-11-04,0.47,0.4,False,Delphic,hike,0.19047619047619047,0.2857142857142857,-0.06190476190476191,0.3025,0.1686,13.2,0.8474,hold,0.264,0.5265,0.5195,50.0,36.8,3.047,6.9936,hawkish_surprise,36.8
1999-11-18,0.9,0.27,False,Delphic,ambiguous,0.20199999999999999,0.29200000000000004,0.048,0.3043,0.1982,12.2075,1.0041,hold,0.2441,0.6239,0.5626,0.0,-12.2075,0.5752,-1.0154,dovish_surprise,-12.2075
1999-12-02,0.88,0.42,False,Delphic,ambiguous,0.18846153846153849,0.29230769230769227,0.03461538461538461,0.3314,0.1888,18.11,1.0827,hold,0.3622,0.6727,0.4299,0.0,-18.11,0.8442,-1.4534,dovish_surprise,-18.11
1999-12-15,0.38,0.43,False,Delphic,ambiguous,0.22333333333333333,0.26,0.030000000000000002,0.147,0.1957,5.7875,0.6417,hold,0.1157,0.3987,0.7831,0.0,-5.7875,0.2445,-0.4369,dovish_surprise,-5.7875
2000-01-05,0.3,0.4333,False,Delphic,hike,0.18709677419354842,0.27419354838709675,0.0032258064516129097,0.0,0.1765,8.0375,0.8984,hold,0.1608,0.5582,0.6552,0.0,-8.0375,0.4228,-0.6089,dovish_surprise,-8.0375
2000-01-20,0.32,0.45,False,Delphic,ambiguous,0.27413793103448275,0.3568965517241379,0.04482758620689655,0.71,0.2531,7.2,0.8424,hold,0.144,0.5234,0.6783,0.0,-7.2,0.3882,-0.5448,dovish_surprise,-7.2
2000-02-03,0.35,0.4,False,Delphic,hike,0.2696428571428572,0.3732142857142858,0.075,0.475,0.2618,11.6975,1.0745,hold,0.2339,0.6676,0.5268,25.0,13.3025,1.0654,1.0152,hawkish_surprise,13.3025
2000-02-17,0.52,0.5,False,Delphic,hike,0.2818181818181818,0.39696969696969703,0.036363636363636355,0.45,0.2673,12.8775,1.0133,hold,0.2576,0.6296,0.5334,0.0,-12.8775,0.6285,-0.9272,dovish_surprise,-12.8775
2000-03-02,0.5,0.33,False,Delphic,hike,0.33548387096774196,0.48064516129032253,0.04516129032258064,-0.075,0.321,9.205,0.8995,hold,0.1841,0.5589,0.6034,0.0,-9.205,0.5052,-0.6508,dovish_surprise,-9.205
2000-03-16,0.57,0.5,False,Odyssean,hike,0.32575757575757575,0.3181818181818182,0.09545454545454546,0.3,0.2774,17.24,0.9796,hike_standard,0.3448,0.6087,0.4326,25.0,7.76,0.8092,0.5464,hawkish_surprise,7.76
2000-03-30,0.57,0.5,True,Odyssean,hike,0.3397058823529412,0.28823529411764703,0.09411764705882353,0.1525,0.2751,17.91,0.9047,hike_standard,0.3582,0.5621,0.3672,0.0,-17.91,1.0018,-1.2322,dovish_surprise,-17.91
2000-04-13,0.65,0.4,False,Delphic,hike,0.478125,0.5,0.128125,0.326,0.4147,20.5875,1.1071,hike_standard,0.4117,0.6879,0.3309,0.0,-20.5875,1.1059,-1.3749,dovish_surprise,-20.5875
2000-04-27,0.85,0.4,False,Delphic,hike,0.37812500000000004,0.39687500000000003,0.09687500000000002,0.33,0.3275,19.665,0.9053,hike_standard,0.3933,0.5625,0.3128,25.0,5.335,0.5314,0.3391,hawkish_surprise,5.335
2000-05-11,0.78,0.3,False,Delphic,hike,0.39210526315789473,0.2671052631578948,0.07763157894736843,0.06,0.2917,25.6825,0.8961,hike_standard,0.5137,0.5568,0.164,0.0,-25.6825,1.8079,-2.4884,dovish_surprise,-25.6825
2000-05-25,0.85,0.3,False,Delphic,hike,0.33472222222222225,0.30833333333333335,0.061111111111111116,0.1483,0.2721,21.2075,0.829,hike_standard,0.4241,0.5151,0.2416,0.0,-21.2075,1.4205,-1.8473,dovish_surprise,-21.2075
2000-06-08,0.4,0.3,False,Delphic,hike,0.32894736842105265,0.35256410256410253,-0.007894736842105253,0.408,0.2687,16.0,1.0275,hold,0.32,0.6384,0.4567,50.0,34.0,2.1261,2.8983,hawkish_surprise,34.0
2000-06-21,0.9,0.1,False,None,hike,0.3763157894736842,0.3328947368421053,-0.010526315789473694,0.395,0.2859,7.8575,0.7629,hold,0.1572,0.474,0.7689,0.0,-7.8575,0.2628,-0.4725,dovish_surprise,-7.8575
2000-07-06,0.9,0.1,False,Delphic,ambiguous,0.38249999999999995,0.37,-0.015000000000000003,0.205,0.2992,18.0325,1.0478,hike_standard,0.3606,0.651,0.3806,0.0,-18.0325,0.966,-1.0844,dovish_surprise,-18.0325
2000-07-20,0.55,0.3,False,Delphic,hold,0.4351351351351352,0.5081081081081081,0.1540540540540541,0.24,0.4008,8.5525,0.8259,hold,0.1711,0.5132,0.6747,0.0,-8.5525,0.3935,-0.503,dovish_surprise,-8.5525
2000-08-03,0.6,0.2,False,Delphic,hold,0.4957142857142858,0.5028571428571428,0.16,0.0,0.4307,3.4575,0.4019,hold,0.0692,0.2497,0.8617,0.0,-3.4575,0.1488,-0.2165,no_surprise,-3.4575
2000-08-31,0.4,0.3,False,Delphic,hold,0.4352941176470589,0.31470588235294117,0.08823529411764706,0.0,0.3297,5.715,0.6445,hold,0.1143,0.4005,0.735,25.0,19.285,1.3992,1.2101,hawkish_surprise,19.285
2000-09-14,0.6,0.4,False,Delphic,ambiguous,0.4307692307692308,0.3692307692307692,0.10128205128205128,0.0,0.3464,8.9975,0.7373,hold,0.1799,0.4581,0.6077,0.0,-8.9975,0.4981,-0.5143,dovish_surprise,-8.9975
2000-10-05,0.68,0.37,False,Delphic,hike,0.43906249999999997,0.31875,0.065625,0.0792,0.3283,14.385,1.0473,hold,0.2877,0.6507,0.4667,25.0,10.615,0.8848,0.6206,hawkish_surprise,10.615
2000-10-19,0.6,0.43,False,Delphic,ambiguous,0.47027027027027024,0.42567567567567566,0.17567567567567569,0.07,0.398,6.57,0.7642,hold,0.1314,0.4748,0.7258,0.0,-6.57,0.3205,-0.3801,dovish_surprise,-6.57
2000-11-02,0.225,0.45,False,Delphic,ambiguous,0.4447368421052631,0.4052631578947369,0.16710526315789473,0.2233,0.3774,7.525,0.7905,hold,0.1505,0.4912,0.7017,0.0,-7.525,0.3542,-0.4542,dovish_surprise,-7.525
2000-11-16,0.55,0.375,False,Delphic,ambiguous,0.3542857142857143,0.24571428571428575,0.11142857142857143,0.4125,0.2731,11.0875,0.8902,hold,0.2218,0.5531,0.5693,0.0,-11.0875,0.5633,-0.6746,dovish_surprise,-11.0875
2000-11-30,0.75,0.45,False,Delphic,hike,0.2974358974358975,0.20769230769230768,0.06666666666666667,0.2529,0.2244,12.515,1.0417,hike_standard,0.2503,0.6472,0.4423,0.0,-12.515,0.8158,-0.8202,dovish_surprise,-12.515
2000-12-14,0.45,0.45,False,Delphic,hike,0.3948717948717949,0.2538461538461538,0.1512820512820513,0.235,0.3038,12.9275,1.0296,hold,0.2586,0.6397,0.5124,0.0,-12.9275,0.6686,-0.8891,dovish_surprise,-12.9275
2001-01-04,0.28,0.33,False,Delphic,hike,0.3041666666666667,0.21944444444444444,0.1527777777777778,0.27,0.2485,5.22,0.6359,hold,0.1044,0.3951,0.749,0.0,-5.22,0.289,-0.5214,dovish_surprise,-5.22
2001-01-18,0.3,0.43,False,Delphic,hike,0.40263157894736845,0.23552631578947367,0.2026315789473684,0.04,0.3125,8.6725,0.9357,hold,0.1734,0.5814,0.5887,0.0,-8.6725,0.5298,-0.8681,dovish_surprise,-8.6725
2001-02-01,0.65,0.5,False,Delphic,hike,0.3776315789473684,0.23815789473684212,0.21842105263157896,0.29,0.3039,16.2425,1.0331,hike_standard,0.3248,0.6419,0.3936,0.0,-16.2425,0.9324,-1.7433,dovish_surprise,-16.2425
2001-02-15,0.45,0.33,False,Delphic,hold,0.19166666666666665,0.03571428571428571,0.05714285714285715,0.352,0.118,8.1725,0.9765,hold,0.1634,0.6067,0.6092,0.0,-8.1725,0.4956,-0.8326,dovish_surprise,-8.1725
2001-03-01,0.3,0.47,False,Delphic,ambiguous,0.24574468085106388,0.11914893617021276,0.08297872340425531,0.32,0.1752,4.9325,0.8462,hold,0.0987,0.5258,0.706,0.0,-4.9325,0.3481,-0.5018,no_surprise,-4.9325
2001-03-15,0.025,0.3,False,Delphic,hold,0.21428571428571427,0.021428571428571425,0.13095238095238096,0.31,0.1398,1.6225,0.5245,hold,0.0324,0.3259,0.8451,0.0,-1.6225,0.1683,-0.2543,no_surprise,-1.6225
2001-03-29,0.1,0.57,False,Delphic,hold,0.2512820512820513,0.1512820512820513,0.10769230769230767,0.0967,0.1926,0.785,0.397,hold,0.0157,0.2467,0.8974,0.0,-0.785,0.1083,-0.1194,no_surprise,-0.785
2001-04-11,0.07,0.5,False,Delphic,hold,0.17666666666666664,0.12666666666666665,0.13,0.65,0.1523,1.46,0.2225,hold,0.0292,0.1382,0.9416,0.0,-1.46,0.0602,-0.3301,no_surprise,-1.46
2001-04-26,0.25,0.4,False,Delphic,hold,0.21363636363636365,0.24545454545454545,0.1303030303030303,-0.0067,0.2065,6.055,0.7534,hold,0.1211,0.4681,0.6756,0.0,-6.055,0.3922,-1.2682,dovish_surprise,-6.055
2001-05-10,-0.05,0.53,False,Delphic,hold,0.16046511627906976,0.04651162790697674,0.053488372093023255,0.0,0.1049,0.03,0.3342,hold,0.0006,0.2077,0.92,-25.0,-25.03,3.234,-5.2217,dovish_surprise,-25.03
2001-05-23,-0.65,0.6,False,Delphic,hold,0.15124999999999997,-0.01875,0.075,0.37,0.085,-5.915,0.7525,hold,-0.1183,0.4676,0.679,0.0,5.915,0.3871,0.87,hawkish_surprise,5.915
2001-06-07,-0.83,0.47,False,Delphic,hold,0.11219512195121953,-0.010975609756097562,0.041463414634146344,0.1525,0.0611,-3.465,0.528,hold,-0.0693,0.3281,0.8461,0.0,3.465,0.1671,0.4464,no_surprise,3.465
2001-06-21,0.05,0.3,False,Delphic,hold,0.16938775510204082,0.046938775510204075,0.07142857142857142,0.3575,0.1131,-0.8925,0.5137,hold,-0.0178,0.3192,0.8536,0.0,0.8925,0.1583,0.1108,no_surprise,0.8925
2001-07-05,0.07,0.37,False,Delphic,hold,0.09680851063829787,0.06595744680851064,0.0553191489361702,0.1233,0.0793,2.2575,0.582,hold,0.0451,0.3616,0.8159,0.0,-2.2575,0.2035,-0.2733,no_surprise,-2.2575
2001-07-19,-0.1,0.4,False,Delphic,hold,0.21785714285714286,-0.17976190476190473,0.058333333333333334,0.29,0.0667,0.04,0.3944,hold,0.0008,0.2451,0.9,0.0,-0.04,0.1054,-0.0049,no_surprise,-0.04
2001-08-02,0.27,0.4,False,Delphic,hold,0.22916666666666666,-0.14444444444444443,0.06388888888888888,0.385,0.084,-1.305,0.5683,hold,-0.0261,0.3531,0.8289,0.0,1.305,0.1877,0.1735,no_surprise,1.305
2001-08-30,-0.15,0.5,False,Delphic,hold,0.21875,-0.19249999999999998,0.03,0.0,0.0576,2.3325,0.6104,hold,0.0466,0.3793,0.8027,-25.0,-27.3325,2.9565,-3.6595,dovish_surprise,-27.3325
2001-09-13,-0.6,0.55,False,Delphic,ambiguous,0.06875,-0.21458333333333335,-0.020833333333333332,0.035,-0.0342,-8.41,0.9271,hold,-0.1682,0.576,0.6586,0.0,8.41,0.4176,0.8286,hawkish_surprise,8.41
2001-09-17,-0.5,0.6,True,Delphic,ambiguous,0.11428571428571428,-0.13673469387755102,0.004081632653061228,0.0317,0.0169,-3.0675,0.5102,hold,-0.0613,0.317,0.8353,-50.0,-46.9325,13.8155,-4.3695,dovish_surprise,-46.9325
2001-09-27,-0.6,0.475,False,Delphic,ambiguous,0.08775510204081632,-0.15714285714285714,-0.026530612244897955,0.1137,-0.0086,-10.645,0.9262,hold,-0.2129,0.5755,0.6038,0.0,10.645,0.5045,0.6646,hawkish_surprise,10.645
2001-10-11,-0.7,0.6,False,Delphic,ambiguous,0.06309523809523811,-0.375,-0.045238095238095244,0.018,-0.09,-11.5475,1.0242,hold,-0.2309,0.6364,0.5405,0.0,11.5475,0.6153,0.6904,hawkish_surprise,11.5475
2001-10-25,0.3,0.85,False,Delphic,hold,0.0090909090909091,-0.36818181818181817,-0.04772727272727272,0.225,-0.1155,-5.725,0.5806,hold,-0.1145,0.3607,0.8147,0.0,5.725,0.2049,0.3281,hawkish_surprise,5.725
2001-11-08,0.45,0.825,False,Delphic,ambiguous,-0.013043478260869563,-0.2434782608695652,0.008695652173913044,0.095,-0.0778,-2.6575,0.5212,hold,-0.0532,0.3238,0.8365,-50.0,-47.3425,13.8155,-2.8609,dovish_surprise,-47.3425
2001-12-06,-0.575,0.7,False,Delphic,hold,-0.05918367346938774,-0.2724489795918367,0.004081632653061219,0.0388,-0.1105,-8.855,0.7548,hold,-0.1771,0.469,0.7201,0.0,8.855,0.3284,0.4337,hawkish_surprise,8.855
2002-01-03,-0.2,0.65,False,Delphic,hold,-0.09895833333333333,-0.25937499999999997,-0.052083333333333336,0.06,-0.1377,-1.795,0.388,hold,-0.0359,0.2411,0.893,0.0,1.795,0.1132,0.0867,no_surprise,1.795
2002-02-07,0.1,0.57,False,Delphic,hold,-0.11063829787234043,-0.40957446808510645,-0.12340425531914893,0.0925,-0.2029,-1.3125,0.2862,hold,-0.0262,0.1778,0.9283,0.0,1.3125,0.0744,0.0633,no_surprise,1.3125
2002-03-07,-0.03,0.5,False,Delphic,ambiguous,-0.07857142857142857,-0.2035714285714286,-0.0738095238095238,0.165,-0.1151,-0.03,0.1957,hold,-0.0006,0.1216,0.96,0.0,0.03,0.0408,0.0014,no_surprise,0.03
2002-04-04,0.05,0.57,False,Delphic,hold,0.0010638297872340376,-0.1734042553191489,-0.08191489361702127,0.0643,-0.0679,0.75,0.2955,hold,0.015,0.1836,0.93,0.0,-0.75,0.0726,-0.036,no_surprise,-0.75
2002-05-02,-0.5,0.6,False,Delphic,hold,0.023809523809523808,-0.1952380952380952,-0.054761904761904755,0.17,-0.0576,-1.3625,1.0989,hold,-0.0272,0.6828,0.6498,0.0,1.3625,0.4311,0.0657,no_surprise,1.3625
2002-06-06,0.325,0.8,False,Delphic,hike,0.08478260869565218,-0.0891304347826087,-0.056521739130434775,0.05,0.0043,4.505,0.9424,hold,0.0901,0.5855,0.6824,0.0,-4.505,0.3821,-0.2274,no_surprise,-4.505
2002-07-04,0.525,0.7,False,Delphic,ambiguous,0.0978723404255319,-0.08404255319148937,0.014893617021276595,0.1967,0.0267,11.6075,0.9694,hold,0.2321,0.6023,0.5274,0.0,-11.6075,0.6398,-0.5963,dovish_surprise,-11.6075
2002-08-01,0.15,0.775,False,Delphic,hold,0.17857142857142858,-0.11190476190476188,-0.02619047619047619,-0.03,0.0505,0.0825,0.2334,hold,0.0016,0.145,0.9499,0.0,-0.0825,0.0514,-0.0055,no_surprise,-0.0825
2002-09-12,0.13,0.6,False,Delphic,ambiguous,-0.03666666666666667,-0.23444444444444446,-0.06222222222222222,0.4,-0.1011,3.295,0.7314,hold,0.0659,0.4544,0.7592,0.0,-3.295,0.2755,-0.2259,no_surprise,-3.295
2002-10-10,0.275,0.75,False,Delphic,hike,0.09555555555555557,-0.3433333333333333,-0.042222222222222223,0.055,-0.0637,4.2125,0.4535,hold,0.0843,0.2818,0.8315,0.0,-4.2125,0.1845,-0.3023,no_surprise,-4.2125
2002-11-07,0.27,0.43,False,Delphic,ambiguous,0.09404761904761905,-0.31547619047619047,-0.04285714285714285,-0.06,-0.0562,0.9725,0.5258,hold,0.0195,0.3267,0.8483,0.0,-0.9725,0.1645,-0.0714,no_surprise,-0.9725
2002-12-05,0.25,0.85,True,Delphic,ambiguous,0.045454545454545456,-0.2056818181818182,-0.028409090909090908,0.21,-0.0447,-6.7725,0.826,hold,-0.1354,0.5132,0.6163,-50.0,-43.2275,13.8155,-9.3187,dovish_surprise,-43.2275
2003-01-09,-0.9,0.85,False,Delphic,hold,0.038235294117647055,-0.2598039215686274,-0.12549019607843137,0.17,-0.0839,-6.01,0.5306,hold,-0.1202,0.3297,0.8477,0.0,6.01,0.1652,0.5023,hawkish_surprise,6.01
2003-02-06,-0.85,0.8,False,Delphic,hold,-0.03333333333333333,-0.26875,-0.10416666666666667,-0.045,-0.1181,-3.3725,0.3956,hold,-0.0674,0.2458,0.8651,0.0,3.3725,0.1449,0.2758,no_surprise,3.3725
2003-03-06,-0.23,0.67,False,Delphic,ambiguous,0.007999999999999998,-0.23399999999999999,-0.06,0.34,-0.0782,-7.4475,0.6782,hold,-0.1489,0.4214,0.7356,-25.0,-17.5525,1.4666,-1.4237,dovish_surprise,-17.5525
2003-04-03,-0.6,0.8,False,Delphic,ambiguous,0.037500000000000006,-0.23958333333333334,-0.06875,-0.0033,-0.0669,-13.8375,1.0251,cut_standard,-0.2767,0.6369,0.446,0.0,13.8375,0.8074,1.0892,hawkish_surprise,13.8375
2003-05-08,-0.025,0.8,False,Delphic,ambiguous,-0.00714285714285715,-0.3653061224489796,-0.08979591836734695,0.55,-0.1311,-4.965,0.6858,hold,-0.0993,0.4261,0.7758,0.0,4.965,0.2539,0.3592,no_surprise,4.965
2003-06-05,0.2,0.2,False,Delphic,hold,0.002272727272727265,-0.21818181818181817,-0.08863636363636364,-0.088,-0.082,-1.65,0.5639,hold,-0.033,0.3504,0.8511,-50.0,-48.35,4.646,-3.4539,dovish_surprise,-48.35
2003-07-10,-0.9,0.4,False,Delphic,cut,-0.07631578947368423,-0.32456140350877194,-0.07543859649122807,-0.045,-0.1506,-23.9775,0.91,cut_standard,-0.4795,0.5654,0.2041,0.0,23.9775,1.5891,1.2987,hawkish_surprise,23.9775
2003-07-31,-0.68,0.43,False,Delphic,cut,-0.13359375,-0.31718749999999996,-0.11875,0.1367,-0.1857,-18.2475,0.9568,cut_standard,-0.3649,0.5945,0.3817,0.0,18.2475,0.9631,0.8917,hawkish_surprise,18.2475
2003-09-04,-0.6,0.48,False,Delphic,ambiguous,-0.044,-0.23399999999999999,-0.10000000000000002,0.0,-0.1122,-15.8775,0.9249,cut_standard,-0.3175,0.5747,0.4499,0.0,15.8775,0.7987,0.7396,hawkish_surprise,15.8775
2003-10-02,0.38,0.47,False,Delphic,hold,-0.05454545454545454,-0.17454545454545453,-0.10545454545454547,0.335,-0.1007,1.64,0.6395,hold,0.0328,0.3973,0.7946,0.0,-1.64,0.2299,-0.074,no_surprise,-1.64
2003-11-06,-0.1,0.57,False,Delphic,hold,0.022448979591836726,-0.17755102040816328,-0.08775510204081634,0.0767,-0.0596,-0.8375,0.2989,hold,-0.0168,0.1857,0.9285,0.0,0.8375,0.0742,0.0378,no_surprise,0.8375
2003-12-04,0.15,0.35,False,Delphic,hold,-0.023636363636363632,-0.16181818181818183,-0.05454545454545454,0.1271,-0.0713,2.085,0.3627,hold,0.0417,0.2254,0.8973,0.0,-2.085,0.1084,-0.0941,no_surprise,-2.085
2004-01-08,0.25,0.4,False,Delphic,ambiguous,0.11199999999999999,0.09600000000000002,-0.05,0.0,0.0748,0.895,0.6041,hold,0.0179,0.3753,0.8148,0.0,-0.895,0.2048,-0.0487,no_surprise,-0.895
2004-02-05,-0.02,0.4,False,Delphic,hold,0.1,0.03899999999999999,-0.065,0.1867,0.0487,0.3475,0.4765,hold,0.0069,0.2961,0.8697,0.0,-0.3475,0.1396,-0.019,no_surprise,-0.3475
2004-03-04,0.05,0.35,True,Delphic,hold,-0.004347826086956519,-0.04565217391304348,-0.08804347826086954,0.13,-0.0335,0.04,0.3944,hold,0.0008,0.2451,0.9,0.0,-0.04,0.1054,-0.0022,no_surprise,-0.04
2004-04-01,0.15,0.4,False,Delphic,hold,-0.005208333333333336,0.075,-0.09375,0.11,0.0011,2.7775,0.6173,hold,0.0555,0.3836,0.7951,0.0,-2.7775,0.2293,-0.1588,no_surprise,-2.7775
2004-05-06,0.125,0.4375,False,Delphic,ambiguous,0.008536585365853661,0.15609756097560976,-0.06341463414634146,0.0814,0.0384,0.835,0.5264,hold,0.0167,0.3271,0.8486,0.0,-0.835,0.1642,-0.0487,no_surprise,-0.835
2004-06-03,0.05,0.42,True,Delphic,ambiguous,0.012195121951219514,0.01707317073170731,-0.07073170731707318,0.102,-0.0029,0.3725,0.5324,hold,0.0075,0.3308,0.8697,0.0,-0.3725,0.1396,-0.0218,no_surprise,-0.3725
2004-07-01,0.33,0.65,False,Delphic,ambiguous,0.10217391304347824,0.09782608695652174,-0.08695652173913043,0.2333,0.063,6.86,0.7785,hold,0.1372,0.4837,0.6437,0.0,-6.86,0.4405,-0.7633,dovish_surprise,-6.86
2004-08-05,0.7,0.4,False,Delphic,hike,0.13999999999999999,0.2811111111111111,-0.01555555555555556,0.27,0.1512,9.0075,0.7899,hold,0.1802,0.4908,0.5788,0.0,-9.0075,0.5468,-1.2542,dovish_surprise,-9.0075
2004-09-02,0.175,0.575,False,Delphic,ambiguous,0.11595744680851064,0.11489361702127658,-0.03404255319148936,0.0,0.0856,2.7325,1.0241,hold,0.0546,0.6363,0.6701,0.0,-2.7325,0.4003,-0.4781,no_surprise,-2.7325
2004-10-07,0.63,0.43,False,Delphic,hike,0.13297872340425532,0.15319148936170215,-0.025531914893617023,0.1283,0.1073,6.6875,0.8136,hold,0.1338,0.5055,0.635,0.0,-6.6875,0.4541,-2.3994,dovish_surprise,-6.6875
2004-11-04,0.3125,0.525,False,Delphic,hold,0.20760869565217388,0.15978260869565217,-0.07391304347826086,0.1788,0.137,4.9525,0.7913,hold,0.099,0.4917,0.7163,0.0,-4.9525,0.3337,-1.6311,no_surprise,-4.9525
2004-12-02,0.8,0.6,False,Delphic,hike,0.24807692307692308,0.14519230769230768,-0.04903846153846154,0.1339,0.1578,9.1275,0.7897,hold,0.1825,0.4907,0.5753,0.0,-9.1275,0.5529,-3.1467,dovish_surprise,-9.1275
2005-01-13,0.4,0.6,False,Delphic,ambiguous,0.23469387755102042,-0.009183673469387754,-0.04081632653061224,0.0,0.1064,5.27,0.6158,hold,0.1054,0.3826,0.7562,0.0,-5.27,0.2794,-1.5909,dovish_surprise,-5.27
2005-02-03,0.65,0.37,False,Delphic,hike,0.2020408163265306,-0.02857142857142857,-0.05714285714285714,0.075,0.081,6.885,0.6989,hold,0.1377,0.4343,0.7449,0.0,-6.885,0.2945,-2.1375,dovish_surprise,-6.885
2005-03-03,0.27,0.47,False,Delphic,ambiguous,0.11122448979591838,0.08163265306122448,-0.03469387755102041,-0.06,0.0732,6.8725,0.869,hold,0.1374,0.5399,0.6726,0.0,-6.8725,0.3966,-2.2217,dovish_surprise,-6.8725
2005-04-07,0.35,0.55,False,Delphic,hike,0.11555555555555554,0.013333333333333336,-0.05999999999999999,0.222,0.0498,13.3125,0.8871,hold,0.2662,0.5512,0.5376,0.0,-13.3125,0.6206,-4.7337,dovish_surprise,-13.3125
2005-05-04,0.6,0.47,False,Delphic,hike,0.15000000000000002,0.06489361702127659,-0.06382978723404255,0.228,0.0817,5.635,0.7111,hold,0.1127,0.4418,0.7063,0.0,-5.635,0.3477,-1.6175,dovish_surprise,-5.635
2005-06-02,0.75,0.5,False,Delphic,hold,0.18909090909090906,-0.01090909090909091,-0.04363636363636364,-0.0325,0.0825,3.1675,0.3801,hold,0.0634,0.2362,0.8733,0.0,-3.1675,0.1355,-1.0168,no_surprise,-3.1675
